article_title,article_quality,revision_id,country,population,region
Juan Carlos Del Bello,Stub,1100037128,Argentina,46.2,SOUTH AMERICA
Luis L. Domínguez,C,1089356576,Argentina,46.2,SOUTH AMERICA
Máximo Etchecopar,Start,1115155777,Argentina,46.2,SOUTH AMERICA
Héctor Toty Flores,Stub,1067754685,Argentina,46.2,SOUTH AMERICA
Juan Fugl,Stub,1073206214,Argentina,46.2,SOUTH AMERICA
Santiago Gallo,Start,1039135531,Argentina,46.2,SOUTH AMERICA
Manuel José García,Stub,1007128573,Argentina,46.2,SOUTH AMERICA
Juan José Gómez Centurión,Stub,1110844685,Argentina,46.2,SOUTH AMERICA
Luis Carlos Gómez Centurión,Stub,1040878894,Argentina,46.2,SOUTH AMERICA
Martín Guzmán,C,1111128923,Argentina,46.2,SOUTH AMERICA
Federico Helguera,Start,1066754349,Argentina,46.2,SOUTH AMERICA
Fernando Iglesias (Argentine politician),C,1093400021,Argentina,46.2,SOUTH AMERICA
Ricardo Kennedy,Stub,1096426574,Argentina,46.2,SOUTH AMERICA
Carlos Kunkel,Stub,1005790906,Argentina,46.2,SOUTH AMERICA
Norberto La Porta,Stub,721029407,Argentina,46.2,SOUTH AMERICA
Andrés Larroque,Start,1060504858,Argentina,46.2,SOUTH AMERICA
Julián de Leyva,Stub,959654287,Argentina,46.2,SOUTH AMERICA
Mónica López (politician),Stub,797826672,Argentina,46.2,SOUTH AMERICA
Lucio Victorio Mansilla,Start,1086339086,Argentina,46.2,SOUTH AMERICA
Nicolás Massot,Start,1069153148,Argentina,46.2,SOUTH AMERICA
Juan Mignaburu,Stub,994878410,Argentina,46.2,SOUTH AMERICA
Guillermo Montenegro,Stub,1096175549,Argentina,46.2,SOUTH AMERICA
Mariano Moreno,B,1113829451,Argentina,46.2,SOUTH AMERICA
